id,title,company_name,location,zipcode,city,state
2734976082,Data Analyst,Dice,"Sunnyvale, CA",94085,Sunnyvale,CA
2560804386,Data Analyst,E-Solutions,"San Jose, CA",95101,San Jose,CA
2723624779,Data Analyst,Addison Group,"Redwood City, CA",94061,Redwood City,CA
2716518859,"Data Analyst, Finance","Niantic, Inc.","Sunnyvale, CA",94085,Sunnyvale,CA
2742393244,Data Analyst,eTeam,"Sunnyvale, CA",94085,Sunnyvale,CA
2673223371,Data Analyst - Routing,Booster,"San Mateo, CA",94401,San Mateo,CA
2746680218,Claims Data Warehouse Analyst,Kaiser Permanente,"Pleasanton, CA",94566,Pleasanton,CA
2751947075,Data Analyst,"Ursus, Inc.","Fremont, CA",94536,Fremont,CA
2486582146,Data Analyst,E-Solutions,"San Jose, CA",95101,San Jose,CA
2743366506,Data Analyst,Resource Logistics Inc.,"Menlo Park, CA",94025,Menlo Park,CA
2752290990,Data Analyst I,Dice,"Fremont, CA",94536,Fremont,CA
2722953209,Staff Data Analyst,"eHealth, Inc.","Santa Clara County, CA",95050,Santa Clara County,CA
2761365365,Data Analyst,Dice,"Sunnyvale, CA",94085,Sunnyvale,CA
2738193789,RESEARCH DATA ANALYST II,Employment Development Department,"Santa Clara, CA",95050,Santa Clara,CA
2754271843,Data Analyst III,Mackin Talent,"Fremont, CA",94536,Fremont,CA
2746272794,Data Analyst,Dice,"Fremont, CA",94536,Fremont,CA
2725284989,Data Analyst,"Intelliswift Software, Inc.","San Jose, CA",95101,San Jose,CA
2727458290,Data Analyst,"Ursus, Inc.","Sunnyvale, CA",94085,Sunnyvale,CA
2745259404,Entry Level (Data Analyst/Data Scientist),SynergisticIT,"San Jose, CA",95101,San Jose,CA
2743401227,Data Analyst,Diverse Lynx,"San Jose, CA",95101,San Jose,CA
2747718089,Data Analyst/Scientist,IMS Group,"Menlo Park, CA",94025,Menlo Park,CA
2685230924,Data Analyst - Immunology,CellCarta Formerly Caprion,"Fremont, CA",94536,Fremont,CA
2743401245,Data Analyst,Diverse Lynx,"San Jose, CA",95101,San Jose,CA
2741138998,Data Analyst,"Intelliswift Software, Inc.","San Jose, CA",95101,San Jose,CA
2749618134,Data Analyst III,Russell Tobin,"Cupertino, CA",95014,Cupertino,CA
2738199162,Product Data Analyst,Treez Inc.,San Francisco Bay Area,94101,San Francisco,CA
2745605142,Data Analyst - Advance Analytics,"Ursus, Inc.","Fremont, CA",94536,Fremont,CA
